id,name,slug,color,created_at,updated_at
1,¯\_(ツ)_/¯,general,#4ea1d3,2021-10-15 07:27:44 +0900,2021-11-03 15:56:48 +0900
2,Board Games,board_games,#16bc9c,2021-10-15 07:27:44 +0900,2021-11-02 11:34:36 +0900
3,Development,development,#adfc03,2021-10-18 09:55:18 +0900,2021-10-18 09:55:18 +0900
4,Reality,reality,#03fcc6,2021-10-31 19:12:01 +0900,2021-11-04 07:02:59 +0900
5,Money,money,#007a14,2021-11-02 09:51:04 +0900,2021-11-02 09:51:16 +0900
6,Music,music,#f55a42,2021-11-02 11:32:40 +0900,2021-11-02 11:32:40 +0900
7,Politics,politics,#fcfcfc,2024-09-07 16:43:46 +0900,2024-09-07 16:43:46 +0900
